tract,Name,Incarceration_Rate_rP_gM_pall
11001010900,"Southwest Washington, Washington, DC",0.2203
11001007407,"Barry Farm, Washington, DC",0.2039
11001004801,"Northwest Washington, Washington, DC",0.1997
11001007401,"Barry Farm, Washington, DC",0.178
11001007200,"Capitol Riverfront, Washington, DC",0.1762
11001008803,"Northeast Washington, Washington, DC",0.1736
11001004901,"Northwest Washington, Washington, DC",0.1695
11001009810,"Southeast Washington, Washington, DC",0.1648
11001003302,"Bloomingdale, Washington, DC",0.1628
11001004701,"Northwest Washington, Washington, DC",0.1624
11001008802,"Northeast Washington, Washington, DC",0.162
11001006900,"Southeast Washington, Washington, DC",0.1593
11001007502,"Southeast Washington, Washington, DC",0.1584
11001007601,"Southeast Washington, Washington, DC",0.1569
11001007406,"Southeast Washington, Washington, DC",0.1512
11001006400,"Southwest Washington, Washington, DC",0.1511
11001004702,"Northwest Washington, Washington, DC",0.1477
11001009802,"Southeast Washington, Washington, DC",0.1475
11001003301,"Bloomingdale, Washington, DC",0.1468
11001009801,"Southeast Washington, Washington, DC",0.1466
11001003500,"Northwest Washington, Washington, DC",0.1412
11001009204,"Edgewood, Washington, DC",0.1402
11001008903,"Carver / Langston, Washington, DC",0.1354
11001009700,"Southeast Washington, Washington, DC",0.1336
11001007408,"Southeast Washington, Washington, DC",0.1299
11001007901,"Northeast Washington, Washington, DC",0.1276
11001010400,"Southeast Washington, Washington, DC",0.1274
11001009203,"Northeast Washington, Washington, DC",0.1163
11001009811,"Southeast Washington, Washington, DC",0.1149
11001008402,"Northeast Washington, Washington, DC",0.1125
11001007409,"Southeast Washington, Washington, DC",0.1122
11001009604,"Northeast Washington, Washington, DC",0.1116
24033801600,"Oxon Hill, MD",0.111
24033803401,"Landover, Hyattsville, MD",0.1109
11001008001,"Northeast Washington, Washington, DC",0.1103
11001007708,"Southeast Washington, Washington, DC",0.1097
11001007504,"Historic Anacostia, Washington, DC",0.1085
11001009603,"Northeast Washington, Washington, DC",0.1083
11001007804,"Lincoln Heights, Washington, DC",0.1077
11001004802,"Northwest Washington, Washington, DC",0.1076
11001009907,"Southeast Washington, Washington, DC",0.1061
11001004400,"Northwest Washington, Washington, DC",0.106
