tract,Name,Household_Income_rP_gM_pall
11001000901,"Northwest Washington, Washington, DC",85444
24031705300,"Chevy Chase, MD",82460
51059480100,"Great Falls, VA",80729
51059470100,"McLean, VA",79707
24031706013,"Bethesda, MD",78789
51059480201,"McLean, VA",78388
51013100300,"Old Glebe, Arlington, VA",78154
24031706008,"Potomac, MD",77863
24031705601,"Bethesda, MD",76126
24031706009,"Potomac, MD",75679
24031705701,"Bethesda, MD",75626
51510202001,"Old Town, Alexandria, VA",75603
51510200202,"Seminary Hill, Alexandria, VA",74235
51059470300,"McLean, VA",74103
51059470500,"McLean, VA",73715
24031704700,"Bethesda, MD",72851
51059470600,"McLean, VA",71632
11001000600,"Northwest Washington, Washington, DC",71371
11001000100,"Georgetown, Washington, DC",71081
24031705702,"Bethesda, MD",70167
24031705400,"Chevy Chase, MD",70032
11001001001,"American University Park, Washington, DC",69193
24031705502,"Chevy Chase, MD",68941
24031705200,"Chevy Chase, MD",68642
51510201100,"North Ridge, Alexandria, VA",68561
24031705901,"Bethesda, MD",68504
11001000801,"Northwest Washington, Washington, DC",68475
51059452000,"Annandale, VA",68428
51013100500,"Donaldson Run, Arlington, VA",68268
11001001500,"Northwest Washington, Washington, DC",67987
51059471304,"Falls Church, VA",67986
51059471000,"Falls Church, VA",67799
51059470800,"McLean, VA",67347
24031705100,"Chevy Chase, MD",67264
11001000400,"Naval Observatory, Washington, DC",66756
51059451200,"Falls Church, VA",66367
51059470400,"McLean, VA",65964
24031705903,"Bethesda, MD",65595
51059430500,"Springfield, VA",65417
51013100400,"Arlington, VA",65341
24031705000,"Bethesda, MD",65170
24031704805,"Bethesda, MD",64957
51510200900,"North Ridge, Alexandria, VA",64867
51510200404,"Landmark, Alexandria, VA",64651
11001001401,"Northwest Washington, Washington, DC",64477
51510200801,"Taylor Run, Alexandria, VA",64436
24031705902,"Bannockburn, Bethesda, MD",64332
11001006500,"Southeast Washington, Washington, DC",64028
51510200702,"Eisenhower East, Alexandria, VA",63716
51059471303,"Falls Church, VA",63595
24033806400,"University Park, MD",63579
24031705800,"Glen Echo, MD",63549
51013100200,"Yorktown, Arlington, VA",63436
51013103700,"Arlington Ridge, Arlington, VA",63271
51510201000,"North Ridge, Alexandria, VA",63200
11001001402,"Northwest Washington, Washington, DC",62789
11001000701,"Cathedral Heights, Washington, DC",62677
51059450601,"Falls Church, VA",62638
11001001100,"Northwest Washington, Washington, DC",62483
51610500100,"Falls Church, VA",62421
51610500300,"Falls Church, VA",62172
51059451300,"Falls Church, VA",62123
11001001301,"Northwest Washington, Washington, DC",62089
11001000802,"Northwest Washington, Washington, DC",61750
11001004100,"Northwest Washington, Washington, DC",61548
51059470900,"Falls Church, VA",61279
11001001200,"Northwest Washington, Washington, DC",60745
11001000202,"Georgetown, Washington, DC",60664
51059451800,"Lincolnia, VA",60556
11001006600,"Capitol Hill, Washington, DC",60229
51013102301,"Alcova Heights, Arlington, VA",60150
51013101100,"East Falls Church, Arlington, VA",60091
11001008200,"Northeast Washington, Washington, DC",60004
51059470700,"McLean, VA",59590
11001006700,"Southeast Washington, Washington, DC",59308
51059471401,"Falls Church, VA",59006
51013101200,"Dominion Hills, Arlington, VA",58986
51059451100,"Falls Church, VA",58976
51013101900,"Ashton Heights, Arlington, VA",58830
51510201500,"Potomac West, Alexandria, VA",58573
51059451000,"Annandale, VA",58454
11001010700,"Downtown, Washington, DC",58034
51013102002,"Ashton Heights, Arlington, VA",57642
11001004001,"Adams Morgan, Washington, DC",57295
51059420203,"Alexandria, VA",57185
51013102100,"Glencarlyn, Arlington, VA",57131
11001000502,"Northwest Washington, Washington, DC",57057
24031704600,"Bethesda, MD",56841
51059450900,"Falls Church, VA",56781
51013100100,"Arlington, VA",56705
