tract,Name,City,Incarceration_Rate_rP_gM_pall
24510120500,Greenmount West, Baltimore,0.2523
24510080800,Broadway East, Baltimore,0.2354
24510200400,Shipley Hill, Baltimore,0.2334
24510170100,Downtown, Baltimore,0.209
24510080400,Broadway East, Baltimore,0.2084
24510180100,Poppleton, Baltimore,0.2059
24510160200,Sandtown-Winchester, Baltimore,0.2035
24510190100,Franklin Square, Baltimore,0.1986
24510250301,Westport, Baltimore,0.1946
24510090900,Oliver, Baltimore,0.192
24510070200,Madison - Eastend, Baltimore,0.1912
24510130200,Reservoir Hill, Baltimore,0.1891
24510250204,Cherry Hill, Baltimore,0.1878
24510080700,Broadway East, Baltimore,0.1845
24510140300,Druid Heights, Baltimore,0.1772
24510100100,Johnson Square, Baltimore,0.1766
24510200100,Lexington, Baltimore,0.1718
24510170300,Upton, Baltimore,0.1715
24510180200,Poppleton, Baltimore,0.1682
24510140200,Upton, Baltimore,0.1672
24510080301,Berea, Baltimore,0.1672
24510200200,Lexington, Baltimore,0.1643
24510070400,Gay Street, Baltimore,0.1637
24510080200,Broadway East, Baltimore,0.1574
24510120400,Barclay, Baltimore,0.1564
24510150100,Sandtown-Winchester, Baltimore,0.1552
24510120300,Harwood, Baltimore,0.1548
24510260402,Frankford, Baltimore,0.1546
24510160700,Rosemont, Baltimore,0.154
24510200702,Saint Joseph's, Baltimore,0.1533
24510100200,Baltimore, MD,0.1533
24510120600,Old Goucher, Baltimore,0.1507
24510060400,Baltimore, MD,0.1501
24510130400,Woodbrook, Baltimore,0.1467
24510160801,Edmondson, Baltimore,0.1455
24510260604,O'Donnell Heights, Baltimore,0.1442
24510270701,Harford - Echodale - Perring Parkway, Baltimore,0.1432
24510210100,Pigtown, Baltimore,0.1395
24510280302,West Forest Park, Baltimore,0.1384
24510070300,Milton - Montford, Baltimore,0.1357
24510190200,Pratt Monroe, Baltimore,0.1356
24510271001,Baltimore, MD,0.1354
24510250207,Cherry Hill, Baltimore,0.1352
24510090600,Coldstream - Homestead - Montebello, Baltimore,0.1352
24510271600,Edgecomb, Baltimore,0.1342
24510080500,Darley Park, Baltimore,0.134
24510090800,East Baltimore Midway, Baltimore,0.1324
24510060300,Butchers Hill, Baltimore,0.1307
24510190300,Mount Clare, Baltimore,0.1307
24510150600,NW Community Action, Baltimore,0.1289
24510080302,Berea, Baltimore,0.1283
24510150300,Coppin Heights, Baltimore,0.1278
24510080600,Broadway East, Baltimore,0.1271
24510250203,Cherry Hill, Baltimore,0.1262
24510130300,Penn North, Baltimore,0.1255
24510180300,Hollins Market, Baltimore,0.1254
24510151200,Park Circle, Baltimore,0.124
24005402305,Lochearn, Pikesville,0.1225
24510160400,Midtown Edmondson, Baltimore,0.1208
24510271801,Arlington, Baltimore,0.1198
24510160100,Harlem Park, Baltimore,0.1197
24510280102,Gwynn Oak, Baltimore,0.1193
24510090700,Coldstream - Homestead - Montebello, Baltimore,0.1193
24510280500,Pleasant View Gardens, Baltimore,0.1184
24510260403,Cedonia, Baltimore,0.1183
24510130100,Reservoir Hill, Baltimore,0.1175
24510070100,Baltimore, MD,0.1172
24510150701,Hanlon Longwood, Baltimore,0.1172
24510280402,Rognel Heights, Baltimore,0.1169
24510060100,Patterson Park, Baltimore,0.1168
24510170200,McCulloh Homes, Baltimore,0.1131
24510090400,Better Waverly, Baltimore,0.1113
24510260301,Belair - Edison, Baltimore,0.1112
24510080102,Belair - Edison, Baltimore,0.1108
24510160802,Edmondson, Baltimore,0.1106
24510200300,Bentalou-Smallwood, Baltimore,0.1089
24510200600,Baltimore, MD,0.1086
24510271002,Winston - Govans, Baltimore,0.1084
24510060200,Baltimore, MD,0.1081
24510151300,Central Park Heights, Baltimore,0.1078
24510150200,Sandtown-Winchester, Baltimore,0.1074
24510260202,Parkside, Baltimore,0.1064
24510200500,Mill Hill, Baltimore,0.1048
24510200800,Irvington, Baltimore,0.1042
24510160500,Bridgeview-Greenlawn, Baltimore,0.1034
24510271700,Central Park Heights, Baltimore,0.1033
24510150900,Windsor Hills, Baltimore,0.1022
24005421300,Dundalk, MD,0.1008
24510260203,Frankford, Baltimore,0.1003
24510150400,Mondawmin, Baltimore,0.0983
24510140100,Bolton Hill, Baltimore,0.098
24510020100,Upper Fells Point, Baltimore,0.0957
24510160300,Sandtown-Winchester, Baltimore,0.0955
24510150702,Walbrook, Baltimore,0.0953
24510270901,New Northwood, Baltimore,0.0952
24005420302,Dundalk, MD,0.0939
24005401302,Gwynn Oak, Baltimore,0.0924
24510280404,Irvington, Baltimore,0.0923
24510250402,Brooklyn, Baltimore,0.0916
24510260302,Belair - Edison, Baltimore,0.0913
24510250102,Yale Heights, Baltimore,0.0902
24510090100,Ednor Gardens - Lakeside, Baltimore,0.0896
24005402404,Gwynn Oak, Lochearn,0.0888
24510280301,Gwynn Oak, Baltimore,0.0884
24510250101,Beechfield, Baltimore,0.088
24510151000,Dorchester, Baltimore,0.0872
24510270902,Perring Loch, Baltimore,0.0857
24510030100,Perkins Homes, Baltimore,0.0853
24005402405,Gwynn Oak, Baltimore,0.0852
24510270802,Ramblewood, Baltimore,0.0849
24510160600,Mosher, Baltimore,0.0847
24510110100,Downtown, Baltimore,0.0831
24510261000,Patterson Park, Baltimore,0.0821
24005450504,Essex, MD,0.0821
24510270903,Hillen, Baltimore,0.0817
24005402307,Pikesville, MD,0.0817
24510250500,Curtis Bay, Baltimore,0.0815
24005451401,Middle River, MD,0.081
24005402306,Windsor Mill, Baltimore,0.0798
24510260201,Frankford, Baltimore,0.0787
24510280101,Reisterstown Station, Baltimore,0.077
24005441000,Baltimore, MD,0.0768
24510271900,Glen, Baltimore,0.0767
24510280200,Gwynn Oak, Baltimore,0.0763
24510271802,Langston Hughes, Baltimore,0.076
24005421200,Dundalk, MD,0.0753
24510240300,Riverside, Baltimore,0.0749
24510230300,South Baltimore, Baltimore,0.0745
24510110200,Downtown, Baltimore,0.0737
24510090500,Better Waverly, Baltimore,0.0736
24510270805,Mid-Govans, Baltimore,0.0736
24510260800,Baltimore Highlands, Baltimore,0.0726
24510020200,Upper Fells Point, Baltimore,0.0715
24510080101,Belair - Edison, Baltimore,0.0713
24005402303,Windsor Mill, Baltimore,0.0711
24510150800,Garwyn Oaks, Baltimore,0.071
24510120700,Remington, Baltimore,0.0698
24005402304,Gwynn Oak, Baltimore,0.0692
24005402302,Windsor Mill, Milford Mill,0.0692
24005402504,Randallstown, MD,0.0688
24510040100,Downtown, Baltimore,0.0687
24510260102,Frankford, Baltimore,0.0686
24510250401,Brooklyn, Baltimore,0.0685
24005430300,Lansdowne - Baltimore Highlands, Halethorpe,0.0684
24510010400,Canton, Baltimore,0.0683
24510090300,Ednor Gardens - Lakeside, Baltimore,0.0674
24510210200,Pigtown, Baltimore,0.0672
24510250205,Lakeland, Baltimore,0.0671
24510230100,Baltimore, MD,0.0671
24005450800,Essex, MD,0.0668
24005452500,Dundalk, MD,0.0662
24510240100,Locust Point, Baltimore,0.0661
24005491401,Parkville, MD,0.0655
24005452000,Sparrows Point, MD,0.0647
24510230200,South Baltimore, Baltimore,0.0639
24510010300,Canton, Baltimore,0.0634
24510030200,Little Italy, Baltimore,0.0621
24510150500,Burleith-Leighton, Baltimore,0.0615
24005401200,Woodlawn, MD,0.0611
24510260900,Baltimore, MD,0.0604
24005420702,Dundalk, MD,0.06
24510151100,East Arlington, Baltimore,0.0597
24510270803,Loch Raven, Baltimore,0.0595
24510010100,Canton, Baltimore,0.0593
24510260303,Claremont - Freedom, Baltimore,0.0592
24005451801,Middle River, MD,0.0591
24510260101,Cedmont, Baltimore,0.0589
24003751102,Glen Burnie, MD,0.0589
24510130600,Hampden, Baltimore,0.0589
24005420402,Dundalk, MD,0.0586
24510260404,Baltimore Highlands, Baltimore,0.0585
24510260501,Joseph Lee, Baltimore,0.0578
24510270702,Harford - Echodale - Perring Parkway, Baltimore,0.0575
24510010500,Upper Fells Point, Baltimore,0.0565
24510250600,Brooklyn, Baltimore,0.0563
24510010200,Patterson Park, Baltimore,0.0556
24005402406,Windsor Mill, Milford Mill,0.0555
24510090200,Ednor Gardens - Lakeside, Baltimore,0.0554
24510250303,Morrell Park, Baltimore,0.0547
24005402603,Randallstown, MD,0.0545
24005402503,Randallstown, MD,0.0542
24005402604,Randallstown, MD,0.0534
24510260401,Armistead Gardens, Baltimore,0.0534
24005450503,Essex, MD,0.0532
24005401102,Gwynn Oak, Woodlawn,0.0528
24510270804,Lake Walker, Baltimore,0.0518
24510200701,Allendale, Baltimore,0.0515
24005430101,Lansdowne - Baltimore Highlands, Lansdowne,0.05
24005451701,Middle River, MD,0.0495
24005492401,Owings Mills, MD,0.0495
24005491600,Parkville, MD,0.0495
24005452300,Baltimore, MD,0.0486
24005420401,Dundalk, MD,0.0486
24510280401,Baltimore, MD,0.0484
24005450200,Essex, MD,0.0481
24510270801,Idlewood, Baltimore,0.0474
24510270301,Lauraville, Baltimore,0.0466
24005440701,Rosedale, MD,0.0463
24005452400,Dundalk, MD,0.046
24005420301,Dundalk, MD,0.0454
24005451500,Middle River, MD,0.0453
24510270401,Glenham-Belford, Baltimore,0.0448
24005451600,Middle River, MD,0.0442
24510270501,Woodring, Baltimore,0.044
24510270101,Arcadia, Baltimore,0.0425
24005430200,Lansdowne - Baltimore Highlands, Lansdowne,0.0424
24005451402,Middle River, MD,0.0419
24005421000,Dundalk, MD,0.0415
24005440702,Rosedale, MD,0.0411
24005403402,Pikesville, MD,0.0408
24510270102,Waltherson, Baltimore,0.0401
24005490900,Towson, MD,0.0384
24003730204,Glen Burnie, MD,0.0378
24510240400,Riverside Park, Baltimore,0.0373
24027601203,Elkridge, MD,0.0373
24510260700,Fifteenth Street, Baltimore,0.0369
24003750201,Brooklyn, Baltimore,0.0367
24005400800,Catonsville, MD,0.0367
24005400702,Baltimore, MD,0.0366
24510130806,Woodberry, Baltimore,0.0361
24005402509,Owings Mills, MD,0.0361
24005452100,Sparrows Point, MD,0.0359
24005402403,Gwynn Oak, Baltimore,0.0357
24005430900,Baltimore, MD,0.0353
24005402505,Randallstown, MD,0.0352
24510260605,Medford - Broening, Baltimore,0.035
24005450400,Essex, MD,0.0348
24510130804,Hampden, Baltimore,0.0348
24003730300,Glen Burnie, MD,0.0347
24005451000,Essex, MD,0.0347
24027606707,Columbia, MD,0.0347
24005421102,Dundalk, MD,0.0344
24005403201,Gwynn Oak, Lochearn,0.0339
24005401301,Woodlawn, MD,0.0335
24005400100,Catonsville, MD,0.0334
24005440300,Nottingham, MD,0.0332
24005401506,Windsor Mill, Baltimore,0.033
24005492300,Essex, MD,0.0326
24005400701,Catonsville, MD,0.0325
24510272007,Fallstaff, Baltimore,0.032
24005401101,Woodlawn, MD,0.032
24510271101,Radnor - Winston, Baltimore,0.0316
24005491402,Parkville, MD,0.0313
24510270402,Glenham-Belford, Baltimore,0.031
24510250206,Morrell Park, Baltimore,0.0309
24005441102,Rosedale, MD,0.0309
24003750102,Baltimore, MD,0.0305
24003750803,Glen Burnie, MD,0.0303
24005403202,Gwynn Oak, Baltimore,0.0303
24003730402,Glen Burnie, MD,0.0298
24005420303,Dundalk, MD,0.0296
24003750801,Glen Burnie, MD,0.029
24005451200,Middle River, MD,0.0289
24003730100,Chestnut Hill Cove, Riviera Beach,0.0289
24003751103,Glen Burnie, MD,0.0286
24005402506,Randallstown, MD,0.0286
24003740201,South Gate, Glen Burnie,0.0277
24005421101,Baltimore, MD,0.0276
24005492101,Parkville, MD,0.0276
24005403602,Baltimore, MD,0.0276
24003730401,Glen Burnie, MD,0.0275
24005451100,Essex, MD,0.0275
24005491500,Parkville, MD,0.0269
24005451702,Middle River, MD,0.0265
24005401507,Windsor Mill, Baltimore,0.0264
24510270200,Lauraville, Baltimore,0.0262
24510130803,Medfield, Baltimore,0.0251
24005401000,Catonsville, MD,0.025
24005401505,Catonsville, MD,0.0246
24005492002,Parkville, MD,0.0246
24005420600,Baltimore, MD,0.0244
24003750101,Brooklyn Park, MD,0.0242
24027606606,Long Reach, Columbia,0.024
24510270600,Harford - Echodale - Perring Parkway, Baltimore,0.024
24005440400,Baltimore, MD,0.0239
24005451802,Middle River, MD,0.0235
24005441101,Rosedale, MD,0.0235
24005404101,Owings Mills, MD,0.0233
24003750804,Glen Burnie, MD,0.023
24005451803,Middle River, MD,0.023
24510272006,Glen, Baltimore,0.0227
24005400600,Catonsville, MD,0.0227
24005492001,Parkville, MD,0.0227
24005411309,Perry Hall, MD,0.0226
24005451300,Middle River, MD,0.022
24003750300,Linthicum Heights, MD,0.0218
24510280403,Westgate, Baltimore,0.0217
24003731309,Riviera Beach, MD,0.0215
24005420100,Dundalk, MD,0.0215
24027601201,Elkridge, MD,0.0213
24027601107,Waterloo, Elkridge,0.0212
24005430400,Halethorpe, MD,0.0211
24005440900,Rosedale, MD,0.021
24005450300,Essex, MD,0.0209
24005420800,Dundalk, MD,0.0205
24003751200,Linthicum Heights, MD,0.0205
24003740103,Hanover, MD,0.0203
