tract,Name,City,incarceration
24510120500,Greenmount West, Baltimore,0.2523
24510080800,Broadway East, Baltimore,0.2354
24510200400,Shipley Hill, Baltimore,0.2334
24510170100,Downtown, Baltimore,0.209
24510080400,Broadway East, Baltimore,0.2084
24510180100,Poppleton, Baltimore,0.2059
24510160200,Sandtown-Winchester, Baltimore,0.2035
24510190100,Franklin Square, Baltimore,0.1986
24510250301,Westport, Baltimore,0.1946
24510090900,Oliver, Baltimore,0.192
24510070200,Madison - Eastend, Baltimore,0.1912
24510130200,Reservoir Hill, Baltimore,0.1891
24510250204,Cherry Hill, Baltimore,0.1878
24510080700,Broadway East, Baltimore,0.1845
24510140300,Druid Heights, Baltimore,0.1772
24510100100,Johnson Square, Baltimore,0.1766
24510200100,Lexington, Baltimore,0.1718
24510170300,Upton, Baltimore,0.1715
24510180200,Poppleton, Baltimore,0.1682
24510140200,Upton, Baltimore,0.1672
24510080301,Berea, Baltimore,0.1672
24510200200,Lexington, Baltimore,0.1643
24510070400,Gay Street, Baltimore,0.1637
24510080200,Broadway East, Baltimore,0.1574
24510120400,Barclay, Baltimore,0.1564
24510150100,Sandtown-Winchester, Baltimore,0.1552
24510120300,Harwood, Baltimore,0.1548
24510260402,Frankford, Baltimore,0.1546
24510160700,Rosemont, Baltimore,0.154
24510200702,Saint Joseph's, Baltimore,0.1533
24510120600,Old Goucher, Baltimore,0.1507
24510130400,Woodbrook, Baltimore,0.1467
24510160801,Edmondson, Baltimore,0.1455
24510260604,O'Donnell Heights, Baltimore,0.1442
24510270701,Harford - Echodale - Perring Parkway, Baltimore,0.1432
24510210100,Pigtown, Baltimore,0.1395
24510280302,West Forest Park, Baltimore,0.1384
24510070300,Milton - Montford, Baltimore,0.1357
24510190200,Pratt Monroe, Baltimore,0.1356
24510250207,Cherry Hill, Baltimore,0.1352
24510090600,Coldstream - Homestead - Montebello, Baltimore,0.1352
24510271600,Edgecomb, Baltimore,0.1342
24510080500,Darley Park, Baltimore,0.134
24510090800,East Baltimore Midway, Baltimore,0.1324
24510060300,Butchers Hill, Baltimore,0.1307
24510190300,Mount Clare, Baltimore,0.1307
24510150600,NW Community Action, Baltimore,0.1289
24510080302,Berea, Baltimore,0.1283
24510150300,Coppin Heights, Baltimore,0.1278
24510080600,Broadway East, Baltimore,0.1271
24510250203,Cherry Hill, Baltimore,0.1262
24510130300,Penn North, Baltimore,0.1255
24510180300,Hollins Market, Baltimore,0.1254
24510151200,Park Circle, Baltimore,0.124
24510160400,Midtown Edmondson, Baltimore,0.1208
24510271801,Arlington, Baltimore,0.1198
24510160100,Harlem Park, Baltimore,0.1197
24510280102,Gwynn Oak, Baltimore,0.1193
24510090700,Coldstream - Homestead - Montebello, Baltimore,0.1193
24510280500,Pleasant View Gardens, Baltimore,0.1184
24510260403,Cedonia, Baltimore,0.1183
24510130100,Reservoir Hill, Baltimore,0.1175
24510150701,Hanlon Longwood, Baltimore,0.1172
24510280402,Rognel Heights, Baltimore,0.1169
24510060100,Patterson Park, Baltimore,0.1168
24510170200,McCulloh Homes, Baltimore,0.1131
24510090400,Better Waverly, Baltimore,0.1113
24510260301,Belair - Edison, Baltimore,0.1112
24510080102,Belair - Edison, Baltimore,0.1108
24510160802,Edmondson, Baltimore,0.1106
24510200300,Bentalou-Smallwood, Baltimore,0.1089
24510271002,Winston - Govans, Baltimore,0.1084
24510151300,Central Park Heights, Baltimore,0.1078
24510150200,Sandtown-Winchester, Baltimore,0.1074
24510260202,Parkside, Baltimore,0.1064
24510200500,Mill Hill, Baltimore,0.1048
24510200800,Irvington, Baltimore,0.1042
24510160500,Bridgeview-Greenlawn, Baltimore,0.1034
24510271700,Central Park Heights, Baltimore,0.1033
24510150900,Windsor Hills, Baltimore,0.1022
24510260203,Frankford, Baltimore,0.1003
24510150400,Mondawmin, Baltimore,0.0983
24510140100,Bolton Hill, Baltimore,0.098
24510020100,Upper Fells Point, Baltimore,0.0957
24510160300,Sandtown-Winchester, Baltimore,0.0955
24510150702,Walbrook, Baltimore,0.0953
24510270901,New Northwood, Baltimore,0.0952
24005401302,Gwynn Oak, Baltimore,0.0924
24510280404,Irvington, Baltimore,0.0923
24510250402,Brooklyn, Baltimore,0.0916
24510260302,Belair - Edison, Baltimore,0.0913
24510250102,Yale Heights, Baltimore,0.0902
24510090100,Ednor Gardens - Lakeside, Baltimore,0.0896
24510280301,Gwynn Oak, Baltimore,0.0884
24510250101,Beechfield, Baltimore,0.088
24510151000,Dorchester, Baltimore,0.0872
24510270902,Perring Loch, Baltimore,0.0857
24510030100,Perkins Homes, Baltimore,0.0853
24005402405,Gwynn Oak, Baltimore,0.0852
24510270802,Ramblewood, Baltimore,0.0849
24510160600,Mosher, Baltimore,0.0847
24510110100,Downtown, Baltimore,0.0831
24510261000,Patterson Park, Baltimore,0.0821
24510270903,Hillen, Baltimore,0.0817
24510250500,Curtis Bay, Baltimore,0.0815
24005402306,Windsor Mill, Baltimore,0.0798
24510260201,Frankford, Baltimore,0.0787
24510280101,Reisterstown Station, Baltimore,0.077
24510271900,Glen, Baltimore,0.0767
24510280200,Gwynn Oak, Baltimore,0.0763
24510271802,Langston Hughes, Baltimore,0.076
24510240300,Riverside, Baltimore,0.0749
24510230300,South Baltimore, Baltimore,0.0745
24510110200,Downtown, Baltimore,0.0737
24510090500,Better Waverly, Baltimore,0.0736
24510270805,Mid-Govans, Baltimore,0.0736
24510260800,Baltimore Highlands, Baltimore,0.0726
24510020200,Upper Fells Point, Baltimore,0.0715
24510080101,Belair - Edison, Baltimore,0.0713
24005402303,Windsor Mill, Baltimore,0.0711
24510150800,Garwyn Oaks, Baltimore,0.071
24510120700,Remington, Baltimore,0.0698
24005402304,Gwynn Oak, Baltimore,0.0692
24510040100,Downtown, Baltimore,0.0687
24510260102,Frankford, Baltimore,0.0686
24510250401,Brooklyn, Baltimore,0.0685
24510010400,Canton, Baltimore,0.0683
24510090300,Ednor Gardens - Lakeside, Baltimore,0.0674
24510210200,Pigtown, Baltimore,0.0672
24510250205,Lakeland, Baltimore,0.0671
24510240100,Locust Point, Baltimore,0.0661
24510230200,South Baltimore, Baltimore,0.0639
24510010300,Canton, Baltimore,0.0634
24510030200,Little Italy, Baltimore,0.0621
24510150500,Burleith-Leighton, Baltimore,0.0615
24510151100,East Arlington, Baltimore,0.0597
24510270803,Loch Raven, Baltimore,0.0595
24510260303,Claremont - Freedom, Baltimore,0.0592
24510260101,Cedmont, Baltimore,0.0589
24510130600,Hampden, Baltimore,0.0589
24510260404,Baltimore Highlands, Baltimore,0.0585
24510260501,Joseph Lee, Baltimore,0.0578
24510270702,Harford - Echodale - Perring Parkway, Baltimore,0.0575
24510010500,Upper Fells Point, Baltimore,0.0565
24510250600,Brooklyn, Baltimore,0.0563
24510010200,Patterson Park, Baltimore,0.0556
24510090200,Ednor Gardens - Lakeside, Baltimore,0.0554
24510250303,Morrell Park, Baltimore,0.0547
24510260401,Armistead Gardens, Baltimore,0.0534
24510270804,Lake Walker, Baltimore,0.0518
24510200701,Allendale, Baltimore,0.0515
24510270801,Idlewood, Baltimore,0.0474
24510270301,Lauraville, Baltimore,0.0466
24510270401,Glenham-Belford, Baltimore,0.0448
24510270102,Waltherson, Baltimore,0.0401
24510260700,Fifteenth Street, Baltimore,0.0369
24510130806,Woodberry, Baltimore,0.0361
24510260605,Medford - Broening, Baltimore,0.035
24005403202,Gwynn Oak, Baltimore,0.0303
