tract,Name,City,income
11001000802,Northwest Washington, Washington,61750
11001006700,Southeast Washington, Washington,59308
11001000902,Northwest Washington, Washington,55108
11001006600,Capitol Hill, Washington,60229
11001004202,Northwest Washington, Washington,50860
11001010700,Downtown, Washington,58034
11001000501,Northwest Washington, Washington,39235
11001005600,Northwest Washington, Washington,54081
11001010200,Southwest Washington, Washington,35269
11001002802,Columbia Heights, Washington,31896
11001008301,Northeast Washington, Washington,37929
11001001600,Northwest Washington, Washington,45398
11001001302,Forest Hills, Washington,47940
11001001402,Northwest Washington, Washington,62789
11001007301,Southwest Washington, Washington,47280
11001006500,Southeast Washington, Washington,64028
11001001401,Northwest Washington, Washington,64477
11001002001,16th Street Heights, Washington,35421
11001002600,Northwest Washington, Washington,50881
11001000702,Northwest Washington, Washington,46821
11001000400,Naval Observatory, Washington,66756
11001000100,Georgetown, Washington,71081
11001010100,Downtown, Washington,46079
11001005500,Northwest Washington, Washington,49650
11001005301,Northwest Washington, Washington,46681
11001001002,Cathedral Heights, Washington,53500
11001008200,Northeast Washington, Washington,60004
11001000502,Northwest Washington, Washington,57057
11001002701,Northwest Washington, Washington,38417
11001001301,Northwest Washington, Washington,62089
11001003900,Lanier Heights, Washington,38835
11001000801,Northwest Washington, Washington,68475
11001004002,Adams Morgan, Washington,34009
11001001100,Northwest Washington, Washington,62483
11001000300,Northwest Washington, Washington,46338
11001001500,Northwest Washington, Washington,67987
11001004001,Adams Morgan, Washington,57295
11001000901,Northwest Washington, Washington,85444
11001000600,Northwest Washington, Washington,71371
11001001001,American University Park, Washington,69193
11001000701,Cathedral Heights, Washington,62677
11001004100,Northwest Washington, Washington,61548
11001001200,Northwest Washington, Washington,60745
11001000202,Georgetown, Washington,60664
11001005800,Northwest Washington, Washington,42727
11001000201,Georgetown, Washington,
