tract,Name,City,incarceration
11001000901,Northwest Washington, Washington,0.0006
11001000600,Northwest Washington, Washington,0
11001000100,Georgetown, Washington,0.0076
11001001001,American University Park, Washington,0
11001000801,Northwest Washington, Washington,0.0019
11001001500,Northwest Washington, Washington,0.0009
11001000400,Naval Observatory, Washington,0.0081
11001001401,Northwest Washington, Washington,0.012
11001006500,Southeast Washington, Washington,0.0125
11001001402,Northwest Washington, Washington,0.0143
11001000701,Cathedral Heights, Washington,0
11001001100,Northwest Washington, Washington,0.0012
11001001301,Northwest Washington, Washington,0.0028
11001000802,Northwest Washington, Washington,0.0416
11001004100,Northwest Washington, Washington,0
11001001200,Northwest Washington, Washington,0
11001000202,Georgetown, Washington,0
11001006600,Capitol Hill, Washington,0.0316
11001008200,Northeast Washington, Washington,0.0049
11001006700,Southeast Washington, Washington,0.0408
11001010700,Downtown, Washington,0.0239
11001004001,Adams Morgan, Washington,0.0009
11001000502,Northwest Washington, Washington,0.0048
11001000902,Northwest Washington, Washington,0.0321
11001005600,Northwest Washington, Washington,0.0221
11001001002,Cathedral Heights, Washington,0.0053
11001002600,Northwest Washington, Washington,0.0101
11001004202,Northwest Washington, Washington,0.0289
11001005500,Northwest Washington, Washington,0.0065
11001001302,Forest Hills, Washington,0.015
11001007301,Southwest Washington, Washington,0.0139
11001000702,Northwest Washington, Washington,0.0089
11001005301,Northwest Washington, Washington,0.0058
11001000300,Northwest Washington, Washington,0.0011
11001010100,Downtown, Washington,0.0066
11001001600,Northwest Washington, Washington,0.0152
11001005800,Northwest Washington, Washington,0
11001000501,Northwest Washington, Washington,0.0233
11001003900,Lanier Heights, Washington,0.0023
11001002701,Northwest Washington, Washington,0.0048
11001008301,Northeast Washington, Washington,0.0167
11001002001,16th Street Heights, Washington,0.0106
11001010200,Southwest Washington, Washington,0.0212
11001004002,Adams Morgan, Washington,0.0015
11001002802,Columbia Heights, Washington,0.0203
11001000201,Georgetown, Washington,0
